name,address,description,styleUrl,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name
Brooklyn Rescue Mission Urban Harvest,919 Gates Avenue Brooklyn NY 11221,Contact: Rev. DeVanie Jackson<br>Phone: 917-426-3001<br>Program Type: Pantry<br>Address: 919 Gates Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11221<br>Monday: closed<br>Tuesday: 10:30 AM - 12:30 PM<br>Wednesday: 10:00 AM - 12:00 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Rev. DeVanie Jackson,Contact,917-426-3001,Phone,Pantry,Program Type,919 Gates Avenue,Address,Brooklyn,City,NY,State,11221,ZIP Code,closed,Monday,10:30 AM - 12:30 PM,Tuesday,10:00 AM - 12:00 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Brooks Memorial UMC,143-22 109th Avenue Jamaica NY 11435,Contact: Sharon Goodwin<br>Phone: 646-221-3890<br>Program Type: Pantry<br>Address: 143-22 109th Avenue<br>City: Jamaica<br>State: NY<br>ZIP Code: 11435<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 11:00 AM - 2:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Sharon Goodwin,Contact,646-221-3890,Phone,Pantry,Program Type,143-22 109th Avenue,Address,Jamaica,City,NY,State,11435,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,11:00 AM - 2:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Brownsville SDA Temple,1085 Clarkson Avenue Brooklyn NY 11212,Contact: Carmine Straker<br>Phone: 347-661-1068/ 718-345-3689<br>Program Type: Pantry<br>Address: 1085 Clarkson Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11212<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 01:30 PM - 05:30 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Carmine Straker,Contact,347-661-1068/ 718-345-3689,Phone,Pantry,Program Type,1085 Clarkson Avenue,Address,Brooklyn,City,NY,State,11212,ZIP Code,closed,Monday,closed,Tuesday,01:30 PM - 05:30 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Cabrini Immigrant Services,139 Henry Street New York NY 10002,Contact: Jo Lee<br>Phone: 203-807-0166<br>Program Type: Pantry<br>Address: 139 Henry Street<br>City: New York<br>State: NY<br>ZIP Code: 10002<br>Monday: closed<br>Tuesday: 08:30 AM - 12:30 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Jo Lee,Contact,203-807-0166,Phone,Pantry,Program Type,139 Henry Street,Address,New York,City,NY,State,10002,ZIP Code,closed,Monday,08:30 AM - 12:30 PM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Caldwell Temple AME Zion Church,1288 James A Polite Avenue Bronx NY 10459,Contact: Sandra Reyes<br>Phone: 718-842-2484<br>Program Type: Soup Kitchen<br>Address: 1288 Rev James A Polite Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10459<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 11:00 AM - 02:00 PM<br>Sunday: closed,#icon-1899-1A237E,Sandra Reyes,Contact,718-842-2484,Phone,Soup Kitchen,Program Type,1288 Rev James A Polite Avenue,Address,Bronx,City,NY,State,10459,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,11:00 AM - 02:00 PM,Saturday,closed,Sunday
Calvary AME Church,790 Herkimer Street Brooklyn NY 11233,Contact: Evelyn Webster<br>Phone: 718-493-5589<br>Program Type: Soup Kitchen<br>Address: 790 Herkimer Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11233<br>Monday: closed<br>Tuesday: 12:00 PM - 02:00 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-1A237E,Evelyn Webster,Contact,718-493-5589,Phone,Soup Kitchen,Program Type,790 Herkimer Street,Address,Brooklyn,City,NY,State,11233,ZIP Code,closed,Monday,12:00 PM - 02:00 PM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Calvary Free Will Baptist Church,1520-30 Herkimer Street Brooklyn NY 11207,Contact: Pastor Mary Allen<br>Phone: 973-951-8231<br>Program Type: Pantry<br>Address: 1520-30 Herkimer Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11207<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 12:00 PM - 01:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Pastor Mary Allen,Contact,973-951-8231,Phone,Pantry,Program Type,1520-30 Herkimer Street,Address,Brooklyn,City,NY,State,11207,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,12:00 PM - 01:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Calvary Pentecostal Church,151 Woodruff Avenue Brooklyn NY 11226,Contact: John Noel<br>Phone: 718-859-7491<br>Program Type: Pantry<br>Address: 151 Woodruff Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11226<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 11:00 AM - 01:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,John Noel,Contact,718-859-7491,Phone,Pantry,Program Type,151 Woodruff Avenue,Address,Brooklyn,City,NY,State,11226,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,11:00 AM - 01:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Calvary's Mission,102-16 89th Avenue Richmond Hill NY 11418,Contact: Kevin Sookdeo<br>Phone: 646-427-0956<br>Program Type: Pantry<br>Address: 102-16 89th Avenue<br>City: Richmond Hill<br>State: NY<br>ZIP Code: 11418<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 07:00 AM - 10:00 AM/RO-6/8-7am-11am<br>Sunday: closed,#icon-1899-F57C00,Kevin Sookdeo,Contact,646-427-0956,Phone,Pantry,Program Type,102-16 89th Avenue,Address,Richmond Hill,City,NY,State,11418,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,07:00 AM - 10:00 AM/RO-6/8-7am-11am,Saturday,closed,Sunday
CAMBA Food Pantry,21 Snyder Avenue Brooklyn NY 11226,Contact: Lucila Santana<br>Phone: 718-282-3082<br>Program Type: Pantry<br>Address: 21 Snyder Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11226<br>Monday: closed<br>Tuesday: 10:00AM - 01:00PM<br>Wednesday: closed<br>Thursday: 10:00AM - 01:00PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Lucila Santana,Contact,718-282-3082,Phone,Pantry,Program Type,21 Snyder Avenue,Address,Brooklyn,City,NY,State,11226,ZIP Code,closed,Monday,10:00AM - 01:00PM,Tuesday,closed,Wednesday,10:00AM - 01:00PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Caribbean American Steelpan Education Center,511 Elton Street Brooklyn NY 11208,Contact: Daphne Joseph<br>Phone: 347-788-7350<br>Program Type: Pantry<br>Address: 511 Elton Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11208<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: 06:00 PM - 08:00 PM,#icon-1899-F57C00,Daphne Joseph,Contact,347-788-7350,Phone,Pantry,Program Type,511 Elton Street,Address,Brooklyn,City,NY,State,11208,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,06:00 PM - 08:00 PM,Sunday
Cathedral Community Cares,1047 Amsterdam Avenue New York NY 10025,Contact: Robert Finn<br>Phone: 347-376-2848<br>Program Type: Soup Kitchen<br>Address: 1047 Amsterdam Avenue<br>City: New York<br>State: NY<br>ZIP Code: 10025<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: 10:00 AM - 11:30 AM,#icon-1899-1A237E,Robert Finn,Contact,347-376-2848,Phone,Soup Kitchen,Program Type,1047 Amsterdam Avenue,Address,New York,City,NY,State,10025,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,10:00 AM - 11:30 AM,Sunday
Cathedral of Joy CDC,43 George Street Brooklyn NY 11206,Contact: Rev. Norma Canty<br>Phone: 718-809-4965<br>Program Type: Pantry<br>Address: 43 George Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11206<br>Monday: closed<br>Tuesday: 09:00 AM - 11:30 AM<br>Wednesday: closed<br>Thursday: 09:00 AM - 11:30 AM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Rev. Norma Canty,Contact,718-809-4965,Phone,Pantry,Program Type,43 George Street,Address,Brooklyn,City,NY,State,11206,ZIP Code,closed,Monday,09:00 AM - 11:30 AM,Tuesday,closed,Wednesday,09:00 AM - 11:30 AM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Catholic Charities Washington Heights Food Pantry,665 West 182nd Street New York NY 10033,Contact: Flor Abad<br>Phone: 646-630-2390<br>Program Type: Pantry<br>Address: 665 West 182nd Street<br>City: New York<br>State: NY<br>ZIP Code: 10033<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 10:00 AM - 12:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Flor Abad,Contact,646-630-2390,Phone,Pantry,Program Type,665 West 182nd Street,Address,New York,City,NY,State,10033,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,10:00 AM - 12:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
CCCS,120 Anderson Avenue Staten Island NY 10302,"Contact: Michelle LaVigerna<br>Phone: 718-447-6330, Ext 2890<br>Program Type: Mobile Pantry<br>Address: 120 Anderson Avenue<br>City: Staten Island<br>State: NY<br>ZIP Code: 10302<br>Monday: closed<br>Tuesday: 01:00 PM - 03:00 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed",#icon-1899-FFD600,Michelle LaVigerna,Contact,"718-447-6330, Ext 2890",Phone,Mobile Pantry,Program Type,120 Anderson Avenue,Address,Staten Island,City,NY,State,10302,ZIP Code,closed,Monday,01:00 PM - 03:00 PM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
CCNS-BFFY @ Our Lady of Solace,2866 West 17th Street Brooklyn NY 11224,Contact: Jennifer Smith<br>Phone: 718-726-9790 ext. 8025<br>Program Type: Pantry<br>Address: 2866 West 17th Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11224<br>Monday: 09:30 AM - 11:00 AM<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Jennifer Smith,Contact,718-726-9790 ext. 8025,Phone,Pantry,Program Type,2866 West 17th Street,Address,Brooklyn,City,NY,State,11224,ZIP Code,09:30 AM - 11:00 AM,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
CCNS-Brooklyn West Family Center,19 Sidney Place Brooklyn NY 11201,Contact: Jennifer Smith<br>Phone: 718-726-9790 ext. 8025<br>Program Type: Pantry<br>Address: 19 Sidney Place<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11201<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 09:30 AM - 12:00 PM & 1:30 PM - 3:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Jennifer Smith,Contact,718-726-9790 ext. 8025,Phone,Pantry,Program Type,19 Sidney Place,Address,Brooklyn,City,NY,State,11201,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,09:30 AM - 12:00 PM & 1:30 PM - 3:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
CCNS-Our Lady of Angels Human Services,336 73rd Street Brooklyn NY 11209,Contact: Jennifer Smith<br>Phone: 718-726-9790 ext. 8025<br>Program Type: Pantry<br>Address: 336 73rd Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11209<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 09:30 AM - 12:00 PM & 1:00 PM - 3:00 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Jennifer Smith,Contact,718-726-9790 ext. 8025,Phone,Pantry,Program Type,336 73rd Street,Address,Brooklyn,City,NY,State,11209,ZIP Code,closed,Monday,closed,Tuesday,09:30 AM - 12:00 PM & 1:00 PM - 3:00 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
CCNS-Our Lady of Miracles-Canarsie Cluster Center,757 East 86th Street Brooklyn NY 11236,Contact: Maureen Benjamin<br>Phone: 347-400-7141<br>Program Type: Pantry<br>Address: 757 East 86th Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11236<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 10:00 AM - 11:30 AM<br>Sunday: closed,#icon-1899-F57C00,Maureen Benjamin,Contact,347-400-7141,Phone,Pantry,Program Type,757 East 86th Street,Address,Brooklyn,City,NY,State,11236,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,10:00 AM - 11:30 AM,Saturday,closed,Sunday
CCNS-St John's Food Pantry,333 Hart Street Brooklyn NY 11206,Contact: Elvin Pagan<br>Phone: 917-348-5943<br>Program Type: Pantry<br>Address: 333 Hart Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11206<br>Monday: closed<br>Tuesday: 08:30 AM - 12:00 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Elvin Pagan,Contact,917-348-5943,Phone,Pantry,Program Type,333 Hart Street,Address,Brooklyn,City,NY,State,11206,ZIP Code,closed,Monday,08:30 AM - 12:00 PM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
CCNS-St. Marks,2609 East 19th Street Brooklyn NY 11235,Contact: Jennifer Smith<br>Phone: 718-891-0443<br>Program Type: Pantry<br>Address: 2609 East 19th Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11235<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 09:30 AM - 11:30 AM (1st and 3rd Thursday of the month)<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Jennifer Smith,Contact,718-891-0443,Phone,Pantry,Program Type,2609 East 19th Street,Address,Brooklyn,City,NY,State,11235,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,09:30 AM - 11:30 AM (1st and 3rd Thursday of the month),Thursday,closed,Friday,closed,Saturday,closed,Sunday
CCNS-St. Michael's Church,136-76 41st Avenue Flushing NY 11355,Contact: Jennifer Smith/ Nilda Tirado<br>Phone: 516-527-6784/ 718-961-0295<br>Program Type: Pantry<br>Address: 136-76 41st Avenue<br>City: Flushing<br>State: NY<br>ZIP Code: 11355<br>Monday: closed<br>Tuesday: 9:00 AM - 11:00 AM<br>Wednesday: 9:00 AM - 11:00 AM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Jennifer Smith/ Nilda Tirado,Contact,516-527-6784/ 718-961-0295,Phone,Pantry,Program Type,136-76 41st Avenue,Address,Flushing,City,NY,State,11355,ZIP Code,closed,Monday,9:00 AM - 11:00 AM,Tuesday,9:00 AM - 11:00 AM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Center of Hope International,38-49 12th Street Long Island City NY 11101,Contact: Telisha Taylor<br>Phone: 917-324-3204<br>Program Type: Pantry<br>Address: 38-49 12th Street<br>City: Long Island City<br>State: NY<br>ZIP Code: 11101<br>Monday: closed<br>Tuesday: 12:00 PM - 03:00 PM<br>Wednesday: 11:00 AM - 02:00 PM<br>Thursday: 12:00 PM - 03:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Telisha Taylor,Contact,917-324-3204,Phone,Pantry,Program Type,38-49 12th Street,Address,Long Island City,City,NY,State,11101,ZIP Code,closed,Monday,12:00 PM - 03:00 PM,Tuesday,11:00 AM - 02:00 PM,Wednesday,12:00 PM - 03:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Chambers Memorial Baptist Church,219 East 123rd Street New York NY 10035,Contact: Swann Streety<br>Phone: 917-822-6429<br>Program Type: Pantry<br>Address: 219 East 123rd Street<br>City: New York<br>State: NY<br>ZIP Code: 10035<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 10:00 AM - 01:00 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Swann Streety,Contact,917-822-6429,Phone,Pantry,Program Type,219 East 123rd Street,Address,New York,City,NY,State,10035,ZIP Code,closed,Monday,closed,Tuesday,10:00 AM - 01:00 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Chance for Children,11 Mckeever Place Brooklyn NY 11225,Contact: Sister Lillian Burley<br>Phone: 347-616-3228<br>Program Type: Pantry<br>Address: 11 Mckeever Place<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11225<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: 9:00:00 AM - 2:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Sister Lillian Burley,Contact,347-616-3228,Phone,Pantry,Program Type,11 Mckeever Place,Address,Brooklyn,City,NY,State,11225,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,9:00:00 AM - 2:00 PM,Friday,closed,Saturday,closed,Sunday
Child Development Support Corp.,352-358 Classon Avenue Brooklyn NY 11238,Contact: Mireille Massac<br>Phone: 718-398-2050<br>Program Type: Pantry<br>Address: 352-358 Classon Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11238<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 10:00 AM - 01:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Mireille Massac,Contact,718-398-2050,Phone,Pantry,Program Type,352-358 Classon Avenue,Address,Brooklyn,City,NY,State,11238,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,10:00 AM - 01:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Children of the Light International Ministry Inc.,1171 East 95th Street Brooklyn NY 11236,Contact: Pastor Maureen Rush<br>Phone: 347-794-4130<br>Program Type: Pantry<br>Address: 1171 East 95th Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11236<br>Monday: 10:00 AM - 04:00 PM<br>Tuesday: closed<br>Wednesday: 10:00 AM - 04:00 PM<br>Thursday: closed<br>Friday: 12:00 PM - 06:00 PM<br>Saturday: 10:00 AM - 02:00 PM<br>Sunday: closed,#icon-1899-F57C00,Pastor Maureen Rush,Contact,347-794-4130,Phone,Pantry,Program Type,1171 East 95th Street,Address,Brooklyn,City,NY,State,11236,ZIP Code,10:00 AM - 04:00 PM,Monday,closed,Tuesday,10:00 AM - 04:00 PM,Wednesday,closed,Thursday,12:00 PM - 06:00 PM,Friday,10:00 AM - 02:00 PM,Saturday,closed,Sunday
Christ Abundant Life Ministries,121 Grandview Avenue Staten Island NY 10303,Contact: Antoine Jones<br>Phone: 718-273-0372<br>Program Type: Pantry<br>Address: 121 Grandview Avenue<br>City: Staten Island<br>State: NY<br>ZIP Code: 10303<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 06:00 PM - 08:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Antoine Jones,Contact,718-273-0372,Phone,Pantry,Program Type,121 Grandview Avenue,Address,Staten Island,City,NY,State,10303,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,06:00 PM - 08:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Christ and St. Stephen's Food Pantry,120 West 69th Street New York NY 10023,Contact: Judith Phillips<br>Phone: 212-580-8179<br>Program Type: Pantry<br>Address: 120 West 69th Street<br>City: New York<br>State: NY<br>ZIP Code: 10023<br>Monday: 09:30 AM - 10:30 AM<br>Tuesday: 09:30 AM - 10:30 AM<br>Wednesday: 09:30 AM - 10:30 AM<br>Thursday: 09:30 AM - 10:30 AM<br>Friday: 09:30 AM - 10:30 AM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Judith Phillips,Contact,212-580-8179,Phone,Pantry,Program Type,120 West 69th Street,Address,New York,City,NY,State,10023,ZIP Code,09:30 AM - 10:30 AM,Monday,09:30 AM - 10:30 AM,Tuesday,09:30 AM - 10:30 AM,Wednesday,09:30 AM - 10:30 AM,Thursday,09:30 AM - 10:30 AM,Friday,closed,Saturday,closed,Sunday
Christ Apostolic Church Goke Food Pantry,622 Cortelyou Road Brooklyn NY 11218,Contact: Babatunde Adebiyi<br>Phone: 516-263-4218<br>Program Type: Pantry<br>Address: 622 Cortelyou Road<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11218<br>Monday: closed<br>Tuesday: 10:00 AM - 04:00 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 9:00 AM - 1:00 PM<br>Sunday: closed,#icon-1899-F57C00,Babatunde Adebiyi,Contact,516-263-4218,Phone,Pantry,Program Type,622 Cortelyou Road,Address,Brooklyn,City,NY,State,11218,ZIP Code,closed,Monday,10:00 AM - 04:00 PM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,9:00 AM - 1:00 PM,Saturday,closed,Sunday
Christ Apostolic Church WOSEM,442 East 183rd Street Bronx NY 10458,Contact: Reverand Joseph Famuyide<br>Phone: 516-330-1146<br>Program Type: Pantry<br>Address: 442 East 183rd Street<br>City: Bronx<br>State: NY<br>ZIP Code: 10458<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 08:00 PM - 08:30 PM/RO-5/28-6PM-7PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Reverand Joseph Famuyide,Contact,516-330-1146,Phone,Pantry,Program Type,442 East 183rd Street,Address,Bronx,City,NY,State,10458,ZIP Code,closed,Monday,closed,Tuesday,08:00 PM - 08:30 PM/RO-5/28-6PM-7PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Christ Church International Joseph's House,122-20 Merrill Street Jamaica NY,Contact: Constance Weeks<br>Phone: 516-860-4432<br>Program Type: Pantry<br>Address: 122-20 Merrill Street<br>City: Jamaica<br>State: NY<br>ZIP Code: 11434<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 10:00 AM - 01:00 PM<br>Sunday: closed,#icon-1899-F57C00,Constance Weeks,Contact,516-860-4432,Phone,Pantry,Program Type,122-20 Merrill Street,Address,Jamaica,City,NY,State,11434,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,10:00 AM - 01:00 PM,Saturday,closed,Sunday
Christ Disciples International Ministries,3021 Webster Avenue Bronx NY 10467,Contact: Emaeyak Ekanem<br>Phone: 718-994-5422<br>Program Type: Pantry<br>Address: 3021-33 Webster Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10467<br>Monday: 12:00 PM - 02:00 PM<br>Tuesday: closed<br>Wednesday: 10:30 AM - 01:00 PM<br>Thursday: 10:30 AM - 01:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: 04:00 PM - 05:00 PM,#icon-1899-F57C00,Emaeyak Ekanem,Contact,718-994-5422,Phone,Pantry,Program Type,3021-33 Webster Avenue,Address,Bronx,City,NY,State,10467,ZIP Code,12:00 PM - 02:00 PM,Monday,closed,Tuesday,10:30 AM - 01:00 PM,Wednesday,10:30 AM - 01:00 PM,Thursday,closed,Friday,closed,Saturday,04:00 PM - 05:00 PM,Sunday
Christ Jesus Baptist Church,1812 White Plains Rd Bronx NY 10462,Contact: Yolanda Lewi<br>Phone: 347-388-5992<br>Program Type: Pantry<br>Address: 1812 White Plains Rd<br>City: Bronx<br>State: NY<br>ZIP Code: 10462<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 12:00 PM - 01:30 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Yolanda Lewi,Contact,347-388-5992,Phone,Pantry,Program Type,1812 White Plains Rd,Address,Bronx,City,NY,State,10462,ZIP Code,closed,Monday,closed,Tuesday,12:00 PM - 01:30 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Christ Temple of the Apostolic Faith,13-17 W 128th Street New York NY 10027,Contact: Loria Frizzell<br>Phone: 212-534-4200; 917-916-3040<br>Program Type: Pantry<br>Address: 13-17 W 128th Street<br>City: New York<br>State: NY<br>ZIP Code: 10027<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: 01:00 PM - 02:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Loria Frizzell,Contact,212-534-4200; 917-916-3040,Phone,Pantry,Program Type,13-17 W 128th Street,Address,New York,City,NY,State,10027,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,01:00 PM - 02:00 PM,Friday,closed,Saturday,closed,Sunday
Christian Cultural Center,120-20 Flatlands Avenue Brooklyn NY 11207,Contact: Annette Bernard/ Jill Smith<br>Phone: 631-679-0205/718-306-1000<br>Program Type: Pantry<br>Address: 120-20 Flatlands Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11207<br>Monday: closed<br>Tuesday: 9AM- 2PM<br>Wednesday: 11AM- 4PM<br>Thursday: 2:00 PM - 7:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Annette Bernard/ Jill Smith,Contact,631-679-0205/718-306-1000,Phone,Pantry,Program Type,120-20 Flatlands Avenue,Address,Brooklyn,City,NY,State,11207,ZIP Code,closed,Monday,9AM- 2PM,Tuesday,11AM- 4PM,Wednesday,2:00 PM - 7:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
